solID,facebook_I_alphas,facebook_I_gammas,facebook_I_thetas,newsletter_alphas,newsletter_gammas,newsletter_thetas,ooh_S_alphas,ooh_S_gammas,ooh_S_thetas,print_S_alphas,print_S_gammas,print_S_thetas,search_clicks_P_alphas,search_clicks_P_gammas,search_clicks_P_thetas,tv_S_alphas,tv_S_gammas,tv_S_thetas,AIC,AICc,mape,nrmse,decomp.rssd,rsq_train,pos,lambda,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
2_264_1,0.529852206667168,0.868564279422891,0.279192952135678,2.24987882011538,0.572698348680333,0.312052465787564,0.522264498412164,0.834035455110572,0.324933210674316,2.85922123661746,0.931906541279349,0.346645697204273,0.680850443998716,0.451890194990289,0.192195000539274,1.80720022752221,0.361488588505505,0.327149590421867,3168962056848.99,3168962056852.29,0,0.0602334729138391,0.0221039622301558,0.929662521515035,0,352378.674023944,0.128714084625244,200.311699151993,1,264,0,2,1579,FALSE,TRUE,1
3_149_1,0.936862041882177,0.985809270472377,0.295931843089296,2.6514451358742,0.743168560200809,0.384292392409467,0.80057845962198,0.641266885678134,0.392692381471912,2.78628920682153,0.421070155358415,0.190373153016176,1.14503748699686,0.602673386483762,0.167000580947452,2.45941489544274,0.312321010500056,0.307059602213197,2702738711910.99,2702738711914.29,0,0.0556264590848905,0.137593950634193,0.940010696692168,0,242880.951389214,0.0877609252929688,118.767780065537,1,149,0,3,889,FALSE,TRUE,1
3_234_6,0.835145601474586,0.328818635094624,0.240526164724063,2.876943908336,0.705017682231863,0.378973377825182,0.606111363922082,0.418341402391702,0.370253799115477,2.62421272981256,0.891291476076231,0.147186367562313,1.43015652045991,0.415600207698581,0.000509384983109729,1.76011007344681,0.326596991028518,0.30875516683148,2914112490466.76,2914112490470.06,0,0.0577607123704826,0.0525937115342104,0.935319097886358,0,292550.965809729,0.0950751304626465,188.063891172409,6,234,0,3,1404,FALSE,TRUE,1
3_244_6,0.835145601474586,0.328818635094624,0.240526164724063,2.876943908336,0.705017682231863,0.378973377825182,0.606111363922082,0.418341402391702,0.39016255618785,2.84580662274803,0.900036477894281,0.147186367562313,1.43015652045991,0.415600207698581,0.000509384983109729,1.76011007344681,0.326596991028518,0.30875516683148,2930406994421.32,2930406994424.62,0,0.0579219741869125,0.0525569187737101,0.934957429207222,0,292550.965809729,0.0977680683135986,196.919774055481,6,244,0,3,1464,FALSE,TRUE,1
3_254_5,0.852397705766125,0.366382254210171,0.236521563024991,2.8803857776769,0.684642877124461,0.354158824608385,0.612085069107465,0.40430568133616,0.361681276124304,2.66278221887376,0.843177251484221,0.178446341811176,1.26817599851903,0.466818448151047,0.0435171072427835,1.91282432975685,0.311424461041593,0.308557994847397,2909255344959.69,2909255344962.99,0,0.0577125554810697,0.0545806281981333,0.93542690585676,0,292550.965809729,0.0949399471282959,205.25031208992,5,254,0,3,1523,FALSE,TRUE,1
3_263_3,0.568988714169045,0.515536855619323,0.284513610469199,2.27613023705778,0.648550993998529,0.307030044018122,0.677993785047446,0.620922158426672,0.384650559882631,2.50889410286544,0.753390729218402,0.133418503906486,0.884963402568845,0.548109742772383,0.13727012015398,2.216644665445,0.308440689787189,0.304358288074368,2830222584310.55,2830222584313.85,0,0.0569232490556119,0.0701137680867004,0.937181096977419,0,266561.544311441,0.0997269153594971,212.318006038666,3,263,0,3,1575,FALSE,TRUE,1
3_275_2,0.632298469576096,0.542580266036052,0.276706090294002,2.63267258692993,0.706238104300321,0.332255590500107,0.653691283419551,0.495559399415892,0.372649245926152,2.81117939268159,0.921459035769333,0.158470991965321,1.48810362358069,0.397395465657565,0.102918328458566,1.9729745306975,0.340931657505732,0.316839136148884,2884107764652.54,2884107764655.84,0,0.0574625806758727,0.0564308488674114,0.935985075174369,0,266561.544311441,0.102751016616821,599.422894001007,2,275,0,3,1646,FALSE,TRUE,1
3_279_6,0.827082899117832,0.32269100852271,0.239734189544999,2.6878402158428,0.667902664107763,0.370303874048723,0.61405217784434,0.48621868863473,0.373774536607391,2.52463415226033,0.513316019401969,0.138158668039906,1.3837988379633,0.430164001331393,0.000509384983109729,1.76011007344681,0.326596991028518,0.30875516683148,2772749857336.99,2772749857340.29,0,0.0563423205869337,0.0885174671632767,0.938456747056042,0,266561.544311441,0.0854249000549316,602.800965070725,6,279,0,3,1674,FALSE,TRUE,1
3_285_2,0.640361171932849,0.594089909653386,0.277498065473066,2.82177627942313,0.706238104300321,0.332255590500107,0.653691283419551,0.495559399415892,0.377058842970327,2.91929059141235,0.961224365289963,0.169485282889982,1.92425811789354,0.308612162401477,0.102918328458566,1.9729745306975,0.340931657505732,0.316839136148884,3026003285594.65,3026003285597.95,0,0.0588591630357527,0.0317853600805626,0.932835598161894,0,321074.323819979,0.0888378620147705,606.921334981918,2,285,0,3,1706,FALSE,TRUE,1
3_288_3,0.568988714169045,0.515536855619323,0.280575109449847,2.53854445623785,0.679914969582766,0.199135778071349,0.618288720103316,0.539514331696043,0.383679769988165,2.84228124058285,0.834100448334191,0.130511441272374,1.44098009362355,0.375048054446758,0.0942311786969402,1.92853235232401,0.347619674130858,0.322535154770479,2940837811539.61,2940837811542.91,0,0.0580249695788737,0.0428912048997397,0.934725909434664,0,292550.965809729,0.0857670307159424,609.014589071274,3,288,0,3,1725,FALSE,TRUE,1
