solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,AIC,AICc,mape,nrmse,decomp.rssd,rsq_train,lambda,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
2_264_1,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,3168962056848.99,3168962056852.29,0,0.0602334729138391,0.0221039622301558,0.929662521515035,352378.674023944,1,264,0,2,1579,1,,,,,,,,,
2_264_1,competitor_sales_B,0.144309442814692,70634401.8012091,0.427890384449171,767765.236969664,0.249742932141655,70634401.8012091,0.427890384449171,767765.236969664,0.249742932141655,TRUE,,,3168962056848.99,3168962056852.29,0,0.0602334729138391,0.0221039622301558,0.929662521515035,352378.674023944,1,264,0,2,1579,1,,,,,,,,,
2_264_1,events,0.874258049196047,1068134.74604054,0.00647056640209246,1068134.74604054,0.347448791054193,1068134.74604054,0.00647056640209246,1068134.74604054,0.347448791054193,TRUE,,,3168962056848.99,3168962056852.29,0,0.0602334729138391,0.0221039622301558,0.929662521515035,352378.674023944,1,264,0,2,1579,1,,,,,,,,,
2_264_1,facebook_I,150713.703153622,3475156.31615257,0.0210518661476657,37773.4382190497,0.0122871533688232,3475156.31615257,0.0210518661476657,37773.4382190497,0.0122871533688232,TRUE,0.181827675117088,0.167909076983104,3168962056848.99,3168962056852.29,0,0.0602334729138391,0.0221039622301558,0.929662521515035,352378.674023944,1,264,0,2,1579,1,5988890.41190929,136111.145725211,0.181827675117088,0.167909076983104,0.413416366598641,0.580267140844989,1.72334417996475,56270.575319295,0.000364914805686567
2_264_1,holiday,0.955099943685273,4326787.97188347,0.026210896128628,270424.248242717,0.0879650984784135,4326787.97188347,0.026210896128628,270424.248242717,0.0879650984784135,TRUE,,,3168962056848.99,3168962056852.29,0,0.0602334729138391,0.0221039622301558,0.929662521515035,352378.674023944,1,264,0,2,1579,1,,,,,,,,,
2_264_1,newsletter,388448.516140819,6140425.22224355,0.0371975813771556,66743.7524156907,0.0217107777583448,6140425.22224355,0.0371975813771556,66743.7524156907,0.0217107777583448,TRUE,,,3168962056848.99,3168962056852.29,0,0.0602334729138391,0.0221039622301558,0.929662521515035,352378.674023944,1,264,0,2,1579,1,,,,,,,,,
2_264_1,ooh_S,279286.089542623,6445619.73738255,0.0390463943505016,70061.0841019843,0.0227898577978258,6445619.73738255,0.0390463943505016,70061.0841019843,0.0227898577978258,TRUE,0.310911157955088,0.311432914731789,3168962056848.99,3168962056852.29,0,0.0602334729138391,0.0221039622301558,0.929662521515035,352378.674023944,1,264,0,2,1579,1,10240536,262577.846153846,0.310911157955088,0.311432914731789,0.383469691461757,0.629422106165395,1.58875894285357,100690.645649308,0.128068379082833
2_264_1,print_S,387694.375925834,1966332.76129074,0.0119116869362274,21373.1821879429,0.0069523871774694,1966332.76129074,0.0119116869362274,21373.1821879429,0.0069523871774694,TRUE,0.0848043521333921,0.0950072713147765,3168962056848.99,3168962056852.29,0,0.0602334729138391,0.0221039622301558,0.929662521515035,352378.674023944,1,264,0,2,1579,1,2793216,77589.3333333333,0.0848043521333921,0.0950072713147765,0.33012325943515,0.703967312692876,1.42052050140612,25614.0436174003,0.881542927450937
2_264_1,search_clicks_P,50972.1015086883,2137763.13072989,0.012950180995992,23236.5557688032,0.00755851566486501,2137763.13072989,0.012950180995992,23236.5557688032,0.00755851566486501,TRUE,0.111321014032676,0.103290269971732,3168962056848.99,3168962056852.29,0,0.0602334729138391,0.0221039622301558,0.929662521515035,352378.674023944,1,264,0,2,1579,1,3666600,47618.1818181818,0.111321014032676,0.103290269971732,0.525209206439452,0.583036909051954,1.71515728159654,25009.5074848168,0.160941836158599
2_264_1,season,0.366653850960405,-2957665.78800183,-0.0179170024637853,-32148.541173933,-0.0104574556781763,-2957665.78800183,-0.0179170024637853,-32148.541173933,-0.0104574556781763,FALSE,,,3168962056848.99,3168962056852.29,0,0.0602334729138391,0.0221039622301558,0.929662521515035,352378.674023944,1,264,0,2,1579,1,,,,,,,,,
