solID,mape,decomp.rssd,nrmse,tv_S,ooh_S,print_S,facebook_I,search_clicks_P,cluster,top_sol
2_264_1,0,0.0221039622301558,0.0602334729138391,0.692149022701992,0.858284397602851,0.117822108757461,0.961985446871042,0.305658178195182,5,FALSE
3_149_1,0,0.137593950634193,0.0556264590848905,0,0.638220407212218,0.67626425260758,0,0.474603295859777,1,FALSE
3_234_6,0,0.0525937115342104,0.0577607123704826,0.753698828549815,0.854939062627523,0.155457765866071,0.627473622665664,0.59059068544134,7,FALSE
3_244_6,0,0.0525569187737101,0.0579219741869125,0.751134083152181,0.912390685847891,0.077144121358833,0.629175771239326,0.617573752500637,7,FALSE
3_254_5,0,0.0545806281981333,0.0577125554810697,0.616130624686248,0.807443769803251,0.180493679614853,0.577716968026072,0.512034958477685,7,FALSE
3_263_3,0,0.0701137680867004,0.0569232490556119,0.174824387189372,0.710280313513121,0.296408800639722,0.407630768028498,0.142479473021492,3,FALSE
3_275_2,0,0.0564308488674114,0.0574625806758727,0.329454595177003,0.697556527312753,0.0853672204025866,0.450641080940091,0.267878949752038,3,FALSE
3_279_6,0,0.0885174671632767,0.0563423205869337,0.732321831437755,0.911721854329079,0.54771814610566,0.426973111112686,0.371392466106226,4,FALSE
3_285_2,0,0.0317853600805626,0.0588591630357527,0.414173369527316,0.752093626127986,0.0155476720622189,0.71337752364277,0.454183803021648,6,FALSE
3_288_3,0,0.0428912048997397,0.0580249695788737,0.39163981989799,0.741262129231754,0.118173662712953,0.615292883502265,0.317391362560384,6,FALSE
3_302_3,0,0.12245516474244,0.0561549379469254,0.613518239674944,0.934954529972825,0.91752256266787,0.316524221693275,0.983100823436026,4,FALSE
3_305_4,0,0.0641159756974306,0.0571692451721453,0.446254151801608,0.752207461790872,0.16670869894038,0.439423240210577,0.173168681916404,3,FALSE
3_308_3,0,0.0334279887053807,0.0587009334387057,0.418272861858378,0.715983094355215,0.10288219767633,0.797599873914216,0.534025909596005,6,FALSE
3_311_4,0,0.0572149345910243,0.0574240202824319,0.577817351221234,0.831600092166072,0.32161894322418,0.621069610880312,0.478266123389815,7,FALSE
3_314_2,0,0.0370344688709895,0.058174546218142,0.332487345860835,0.72167936735739,0.0386182534562048,0.630436553904469,0.36011915685628,6,FALSE
3_319_2,0,0.0300015360646842,0.0588893190427128,0.366923961879944,0.724392266196685,0.0269548821878397,0.804238248286626,0.607443660053413,6,FALSE
3_320_6,0,0.0472125917817091,0.0579369670629121,0.477392066447442,0.828287612783431,0.158415763861214,0.620023018968303,0.466733985227525,6,TRUE
3_324_2,0,0.0250980171639747,0.0595875676774211,0.824213766747402,0.827788818148813,0,1,0.442097418049754,5,FALSE
3_325_6,0,0.0369540259713523,0.0585271119125703,0.512895130727987,0.853754535488313,0.150212296263675,0.745787151055606,0.514740427667763,6,FALSE
4_181_6,0,0.11864396445506,0.0561618799742021,0.623321961304468,0.792534083820676,0.779892659833988,0.305149256357254,0,1,FALSE
4_248_4,0,0.110170891979009,0.0561871720406448,0.349520726815004,0.773743462779664,0.622632519231547,0.241132906379746,0.0713888832876542,1,TRUE
4_280_2,0,0.0873395200812258,0.0565153004813051,0.401116658420533,0.797367324455951,0.346601182832086,0.295169175259017,0.10463870887589,3,TRUE
4_308_2,0,0.0770051733931447,0.0565844385168105,0.514422182908217,0.883944084251289,0.300634650345904,0.408424201975403,0.214200383155369,3,FALSE
4_317_3,0,0.0272467973902127,0.0595762988445826,0.948749987965264,0.886779493494349,0.068117051469554,0.981236895976109,0.584049017994403,5,FALSE
4_321_4,0,0.0298870002035722,0.0594874796125702,0.681636252417089,0.842736110986972,0.119895114298929,0.87646760369783,0.667771725944988,5,TRUE
4_328_2,0,0.075764751406181,0.0568858444205106,1,1,0.497119868722659,0.58170645588851,0.445573776062289,4,TRUE
4_333_2,0,0.063241583399171,0.0572785067260017,0.552937719071405,0.917382200091993,0.269080301520089,0.545967785673588,0.42345723588862,7,TRUE
5_158_4,0,0.266880183437845,0.0555002411669715,0.268967593227204,0,1,0.0353916912427421,1,2,TRUE
