solID,facebook_I_alphas,facebook_I_gammas,facebook_I_thetas,newsletter_alphas,newsletter_gammas,newsletter_thetas,ooh_S_alphas,ooh_S_gammas,ooh_S_thetas,print_S_alphas,print_S_gammas,print_S_thetas,search_clicks_P_alphas,search_clicks_P_gammas,search_clicks_P_thetas,tv_S_alphas,tv_S_gammas,tv_S_thetas,AIC_id,AICc_id,mape,nrmse,decomp.rssd,rsq_train,pos,lambda,Elapsed,ElapsedAccum,iterPar,iterNG,df.int,trial,iterations,coef0,mape.qt10,robynPareto
1_216_2,0.784056479941262,0.363615586872621,0.289116672773665,2.2946263974959,0.597920978457051,0.388464844046763,0.661218140337243,0.338451851946844,0.394567614792856,2.70946481455371,0.452868886979103,0.148216615765075,1.21421420605853,0.771151322380555,0.0899896190430888,1.41903228358425,0.371571454928146,0.32757702908928,2810986059832.73,2810986059836.03,0,0.0567294705750854,0.0819109022689325,0.937608065998292,0,266561.544311441,0.189069986343384,327.475880861282,2,216,0,1,1292,FALSE,TRUE,1
3_193_1,0.552023163943795,0.791083091624106,0.260595212754304,2.64022391291525,0.738793635782241,0.101607713991197,0.579551502280999,0.635574020583541,0.30085258788507,2.99391079448637,0.406365023998675,0.115213654710131,0.996976934520428,0.975920374124618,0.058197801200232,2.18186519483331,0.309115627081977,0.330884675088278,2751028695845.48,2751028695848.78,0,0.0561211995099472,0.108450458698134,0.938938864450219,0,266561.544311441,0.222768068313599,337.784749984741,1,193,0,3,1153,FALSE,TRUE,1
3_222_2,0.610304115747022,0.570190133311453,0.296990998760137,2.2453757395157,0.767396988254591,0.185533400173844,0.66544015932928,0.839812683123605,0.398591875555962,2.99883070574477,0.491673633498605,0.123650039321329,0.956459840422304,0.754624620996764,0.0562406878002278,2.11102028213646,0.308237559113063,0.313660868902365,2766984954033.25,2766984954036.55,0,0.0562837186480688,0.0827412337872234,0.93858470338838,0,266561.544311441,0.220495939254761,390.839778900147,2,222,0,3,1328,FALSE,TRUE,1
3_231_5,0.948529954956238,0.304598786091979,0.280217235939369,2.49823114778484,0.822114997651329,0.148508410948087,0.640351696074023,0.369473787464924,0.366977542339699,2.77984543130831,0.404740116590447,0.12704291773523,1.08495313971929,0.925522006429603,0.070893134094124,2.04412592514092,0.320809414693635,0.341089597093966,2760376318938,2760376318941.29,0,0.0562164647732695,0.099653558573421,0.938731386977664,0,266561.544311441,0.238755941390991,408.577018022537,5,231,0,3,1385,FALSE,TRUE,1
3_241_4,0.572984456048659,0.681791027936771,0.276351889785343,1.96961646735668,0.734339627357075,0.184826731024527,0.546488268395521,0.53691835693515,0.341868433025418,2.82076549183264,0.91667562399313,0.126914664310272,0.873842516021146,0.869445861330661,0.0639295116189976,2.15365279100648,0.307473061376342,0.307176201701888,2890379148711.13,2890379148714.43,0,0.0575250218624987,0.0527775741295811,0.935845877123611,0,266561.544311441,0.229676961898804,427.598049879074,4,241,0,3,1444,FALSE,TRUE,1
3_242_2,0.52932288319187,0.90551501176166,0.287994518874712,2.6915170461832,0.794436693376317,0.145053367815557,0.502848589341835,0.412907992572624,0.348799317275221,2.79416403608006,0.442227328032882,0.110874838969925,0.981509903775263,0.70611242301959,0.0911555267005841,2.33638088816447,0.306819668432472,0.324440421139014,2749614228495.02,2749614228498.32,0,0.0561067700329195,0.114010026917075,0.938970259608979,0,266561.544311441,0.14690899848938,428.894831895828,2,242,0,3,1448,FALSE,TRUE,1
3_243_5,0.847116512359604,0.323937733939426,0.272612874639449,2.77340590674764,0.963504039514073,0.177110388425337,0.629826410125999,0.446443522594391,0.393795039292356,2.76312031273924,0.586628861554691,0.124598926123444,0.816262489411445,0.807482496192907,0.0609780216083704,1.77039072871686,0.317168184610594,0.308129022830898,2827272642221.76,2827272642225.06,0,0.0568935757592768,0.0717020281484452,0.937246573144212,0,292550.965809729,0.238280057907105,431.407136917114,5,243,0,3,1457,FALSE,TRUE,1
3_246_2,0.579604776430601,0.535395024301801,0.263086644475693,2.37147363755759,0.894666584645782,0.127547793183264,0.555213137697958,0.496362605339403,0.355062552017889,2.99619794282674,0.685427521028992,0.117031351380904,1.02280053476237,0.922007167424522,0.0491236256075776,2.10138340293341,0.319229498828919,0.336130219817799,2848668014945.8,2848668014949.1,0,0.0571084409640817,0.0623113117188661,0.936771686874932,0,266561.544311441,0.224865198135376,436.223746061325,2,246,0,3,1472,FALSE,TRUE,1
3_256_2,0.553983667307814,0.535395024301801,0.263086644475693,2.37147363755759,0.894666584645782,0.127547793183264,0.555213137697958,0.496362605339403,0.355062552017889,2.89139062193549,0.895498469579876,0.121760547039009,0.868364156364544,0.922007167424522,0.0491236256075776,2.10138340293341,0.319229498828919,0.336130219817799,2945960591098.26,2945960591101.56,0,0.0580754857602716,0.043493728171307,0.934612205518208,0,292550.965809729,0.236943006515503,454.356101036072,2,256,0,3,1532,FALSE,TRUE,1
3_267_2,0.785126189217272,0.364297264353971,0.278280591286956,2.41342160404607,0.982277376567766,0.193375783569497,0.579930430355678,0.485287860045231,0.380144390807526,2.66571054959351,0.995958539648645,0.131604259768299,0.755634554017053,0.753992054620207,0.06022642055439,1.8805252570528,0.322012931117015,0.315587738276138,3260744755871.82,3260744755875.12,0,0.0610995183737104,0.0137847032011834,0.927625335994343,0,424441.360373536,0.254496097564697,474.621831893921,2,267,0,3,1598,FALSE,TRUE,1
