solID,rn,coef,xDecompAgg,xDecompPerc,xDecompMeanNon0,xDecompMeanNon0Perc,xDecompAggRF,xDecompPercRF,xDecompMeanNon0RF,xDecompMeanNon0PercRF,pos,spend_share_refresh,effect_share_refresh,mape,nrmse,decomp.rssd,rsq_train,lambda,iterPar,iterNG,df.int,trial,iterations,robynPareto,total_spend,mean_spend,spend_share,effect_share,roi_mean,roi_total,cpa_total,mean_response,next_unit_response
1_216_2,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.0567294705750854,0.0819109022689325,0.937608065998292,266561.544311441,2,216,0,1,1292,1,,,,,,,,,
1_216_2,competitor_sales_B,0.15031389507958,73573370.2124367,0.445720844586266,799710.545787355,0.253312929487078,73573370.2124367,0.445720844586266,799710.545787355,0.253312929487078,TRUE,,,0,0.0567294705750854,0.0819109022689325,0.937608065998292,266561.544311441,2,216,0,1,1292,1,,,,,,,,,
1_216_2,events,0.93614266255217,1143742.97845171,0.00692900277468783,1143742.97845171,0.362287187505612,1143742.97845171,0.00692900277468783,1143742.97845171,0.362287187505612,TRUE,,,0,0.0567294705750854,0.0819109022689325,0.937608065998292,266561.544311441,2,216,0,1,1292,1,,,,,,,,,
1_216_2,facebook_I,97320.0448757217,2725130.05199423,0.0165093329947384,29620.9788260243,0.00938261594800835,2725130.05199423,0.0165093329947384,29620.9788260243,0.00938261594800835,TRUE,0.181827675117088,0.115318642706896,0,0.0567294705750854,0.0819109022689325,0.937608065998292,266561.544311441,2,216,0,1,1292,1,5988890.41190929,136111.145725211,0.181827675117088,0.115318642706896,0.341825936356271,0.455030876266351,2.19765306522772,46526.3198360451,0.000371870373783167
1_216_2,holiday,0.989754314611312,4483778.9928623,0.0271635478144634,280236.187053894,0.0887664291347061,4483778.9928623,0.0271635478144634,280236.187053894,0.0887664291347061,TRUE,,,0,0.0567294705750854,0.0819109022689325,0.937608065998292,266561.544311441,2,216,0,1,1292,1,,,,,,,,,
1_216_2,newsletter,386151.355743759,5725338.05238875,0.0346851381808962,62231.9353520516,0.019712324583838,5725338.05238875,0.0346851381808962,62231.9353520516,0.019712324583838,TRUE,,,0,0.0567294705750854,0.0819109022689325,0.937608065998292,266561.544311441,2,216,0,1,1292,1,,,,,,,,,
1_216_2,ooh_S,242825.701109281,7452051.81027087,0.0451458838596615,81000.5631551182,0.0256573957302571,7452051.81027087,0.0451458838596615,81000.5631551182,0.0256573957302571,TRUE,0.310911157955088,0.31534660135322,0,0.0567294705750854,0.0819109022689325,0.937608065998292,266561.544311441,2,216,0,1,1292,1,10240536,262577.846153846,0.310911157955088,0.31534660135322,0.429077609287324,0.727701343979541,1.37419012383755,112666.274479507,0.152076041631517
1_216_2,print_S,236543.73932677,3049551.14725648,0.0184747349352009,33147.2950788748,0.0104995969669694,3049551.14725648,0.0184747349352009,33147.2950788748,0.0104995969669694,TRUE,0.0848043521333921,0.129047088563544,0,0.0567294705750854,0.0819109022689325,0.937608065998292,266561.544311441,2,216,0,1,1292,1,2793216,77589.3333333333,0.0848043521333921,0.129047088563544,1.11447831175841,1.09177061396486,0.915943319236638,86471.6292237941,1.91576797082962
1_216_2,search_clicks_P,91239.5382386658,2636771.44710163,0.0159740405120714,28660.5592076264,0.00907839749252495,2636771.44710163,0.0159740405120714,28660.5592076264,0.00907839749252495,TRUE,0.111321014032676,0.111579593856646,0,0.0567294705750854,0.0819109022689325,0.937608065998292,266561.544311441,2,216,0,1,1292,1,3666600,47618.1818181818,0.111321014032676,0.111579593856646,0.693837400959713,0.71913256071064,1.39056420837322,33039.2755111543,0.474859941008617
1_216_2,season,0.356804901456822,-2878217.82661208,-0.0174367665485022,-31284.9763762183,-0.00990969677283849,-2878217.82661208,-0.0174367665485022,-31284.9763762183,-0.00990969677283849,FALSE,,,0,0.0567294705750854,0.0819109022689325,0.937608065998292,266561.544311441,2,216,0,1,1292,1,,,,,,,,,
1_216_2,trend,0.213708520268584,59386712.089968,0.359775492049806,645507.740108347,0.204468301080661,59386712.089968,0.359775492049806,645507.740108347,0.204468301080661,TRUE,,,0,0.0567294705750854,0.0819109022689325,0.937608065998292,266561.544311441,2,216,0,1,1292,1,,,,,,,,,
1_216_2,tv_S,451300.12677762,7767800.83822546,0.0470587488407117,84432.6178067985,0.026744518843184,7767800.83822546,0.0470587488407117,84432.6178067985,0.026744518843184,TRUE,0.311135800761756,0.328708073519694,0,0.0567294705750854,0.0819109022689325,0.937608065998292,266561.544311441,2,216,0,1,1292,1,10247935.1,256198.3775,0.311135800761756,0.328708073519694,0.621785593534163,0.757986927359197,1.31928396639236,159300.460216327,0.570885927241761
3_193_1,(Intercept),0,0,0,0,0,0,0,0,0,TRUE,,,0,0.0561211995099472,0.108450458698134,0.938938864450219,266561.544311441,1,193,0,3,1153,1,,,,,,,,,
3_193_1,competitor_sales_B,0.153234221275862,75002767.2769355,0.454238043644607,815247.470401473,0.25881205324379,75002767.2769355,0.454238043644607,815247.470401473,0.25881205324379,TRUE,,,0,0.0561211995099472,0.108450458698134,0.938938864450219,266561.544311441,1,193,0,3,1153,1,,,,,,,,,
3_193_1,events,0.929756643941917,1135940.78735637,0.00687957977656572,1135940.78735637,0.360620766347535,1135940.78735637,0.00687957977656572,1135940.78735637,0.360620766347535,TRUE,,,0,0.0561211995099472,0.108450458698134,0.938938864450219,266561.544311441,1,193,0,3,1153,1,,,,,,,,,
